,id,lender_norm1,status,business description
24,23,CIT Group Inc,Acquired,"As of January 3, 2022, CIT Group Inc. was acquired by First-Citizens Bank & Trust Company. CIT Group Inc. operates as the holding company for CIT Bank, N.A. that provides banking and related services to commercial and individual customers. The company operates through Commercial Banking and Consumer Banking segments. The Commercial Banking segment provides a range of commercial lending, leasing, and deposit products; loans comprising revolving lines of credit, term loans, unsecured loans, collateral-backed loans, asset-based loans, commercial real estate loans, and cash flow loans; and ancillary services and products, including cash management, capital markets, and advisory services primarily to small and middle market companies. This segment also offers asset management, factoring, receivable management, and secured financing services; supply chain financing, leasing and equipment financing to small businesses and middle market, and railroads and shippers. The Consumer Banking segment provides checking, savings, money market, and individual retirement accounts; time deposits and certificates of deposit; residential mortgage loans; small business administration loans; payment solutions; and fiduciary services. The company also offers leasing and advisory, and online banking services. It operates through a network of approximately 60 branches located in southern California. CIT Group Inc. was founded in 1908 and is based in New York, New York."
25,24,Citigroup Global Markets Inc,Operating Subsidiary,"Citigroup Global Markets Inc. operates as an investment bank, broker, and capital markets company. It offers brokerage products and services, including fixed income; equity sales and trading; foreign exchange; prime brokerage; derivative services; equity and fixed income research; investment banking; advisory services; cash management; trade finance; and securities services. The company was formerly known as Salomon Smith Barney Inc. and changed its name to Citigroup Global Markets Inc. in April 2003. The company is based in New York, New York. Citigroup Global Markets Inc. is a subsidiary of Citigroup Financial Products Inc."
26,25,MidCap Financial Trust,,
27,26,Rabobank Nederland NV,,"Coöperatieve Rabobank U.A. provides various financial services in the Netherlands and internationally. It operates through five segments: Domestic Retail Banking, Wholesale & Rural, Leasing, Property development, and Other. The company offers various personal banking products and services. It also provides acquisition, asset based, corporate lending, export, project, receivables, structured, supplier, trade and commodity, and vendor finance; trade solutions; and capital structuring, risk and treasury management, debt and equity capital markets, factoring, leasing, cash management, mergers and acquisitions, private equity, transaction banking, foreign exchange, liquidity management, and commodity risk services. In addition, the company offers food and agriculture financing services; and retail banking services, such as payment, savings, finance, and insurance solutions for entrepreneurs. Further, the company develops housing properties. It operates through a network of 84 domestic banks with 146 offices. The company was formerly known as Coöperatieve Centrale Raiffeisen-Boerenleenbank B.A. and changed its name to Coöperatieve Rabobank U.A. in January 2016. Coöperatieve Rabobank U.A. was founded in 1895 and is based in Utrecht, the Netherlands."
28,27,Congress Financial Corp.,Operating Subsidiary,"Wells Fargo Capital Finance, LLC provides asset-based lending, factoring, healthcare finance, lender finance, receivables securitization, retail finance, supply chain finance, technology finance, and cross-border lending solutions for domestic and international trade. The company supports working capital, growth, mergers and acquisitions, turnaround situations, capital expenditures, domestic and international trade, buyouts, bankruptcy, refinancing, restructuring, and recapitalization. It serves healthcare providers, retailers, software and technology companies, specialty finance companies, staffing companies, government contractors, and transportation companies in industries, such as apparel and textiles, building materials, business services, consumer goods, energy oil and gas, food and beverage, government contractors, healthcare, manufacturing, retail, software and technology, specialty finance, staffing, steel and metals, and transportation and trucking. Wells Fargo Capital Finance, LLC was formerly known as Wells Fargo Foothill, LLC. The company was incorporated in 2002 and is based in New York, New York with operations throughout the United Kingdom. As of June 5, 2014, Wells Fargo Capital Finance, LLC operates as a subsidiary of Wells Fargo Bank, National Association."
29,28,Foothill Capital Corp,Operating Subsidiary,"Wells Fargo Capital Finance, Inc. operates as a specialty finance (commercial focused) company. It is a niche commercial lender. The company was formerly known as Wells Fargo Foothill, Inc. and changed its name to Wells Fargo Capital Finance, Inc. in January 2009. The company was founded in 1971 and is based in Santa Monica, California."
30,29,Siemens Credit Corp,Acquired,"As of 2000, Siemens Credit Corp. was merged into Siemens Financial Services, Inc."
31,30,GS Capital Partners,Operating Subsidiary,"West Street Capital Partners is the private equity and venture capital firm specializing in equity and credit investments. Within equity investments, the firm focuses on private equity, emerging growth, growth capital, infrastructure, and real estate investments. For private equity investments, it focuses on acquisitions, expansion investments, leveraged buyouts, recapitalizations, growth investments, and stressed/distressed investments. The firm seeks to invest across a broad range of industries in the Americas, Europe, and Asia (including India). It seeks to invest between $50 million to more than $800 million. For infrastructure equity investments, the firm focuses on investments in mature stage projects, and infrastructure related assets and companies. It focuses on sectors including transportation infrastructure (such as airports, ports, railways, and roads), utilities infrastructure (such as electricity, gas, water networks, energy (such as pipelines, terminals, and power generation). The firm seeks to invest globally and across OECD countries. Its target investment size ranges from $100 million to $500 million per investment, with the ability to do larger transactions with additional partners. For real estate equity investments, the firm acquires real estate companies, real estate projects, loan portfolios, debt recapitalizations, and direct property. It seeks to invest across multiple product types, including hospitality, retail, office, golf, and multifamily. The firm invests globally with a focus in the United States, Europe, and Asia. Its target investments range in size of $50 million plus. For growth equity investments, the firm focuses on investments in growth stage and technology-driven companies. The firm prefer to invest in enterprise with focus on application & infrastructure software, B2B data, tech-enabled services; FinTech with focus on infrastructure, trading technology, payments, specialty finance businesses; consumer with focus on internet, e-commerce, media, consumer product and services companies; healthcare with focus on services and HCIT software. It targets investments ranges in between $20 million to $250 million. Within credit investments, the firm focuses on mezzanine financing, senior loans, specialty lending, alternative energy investing, distressed debt, and real estate credit. For mezzanine financing, it seeks to provide private high yield capital for mid- to large-sized leveraged and management buyout transactions, recapitalizations, financings, re-financings, acquisitions, and restructurings for clients such as private equity firms, private family companies, and corporate issuers. The firm invests across a broad range of industries in private middle market companies, primarily in the Americas and Europe. Its target investments range in size from $100 million to more than $800 million. The firm target companies with $500 million to more than $5 billion of enterprise value. For senior loans, it seeks to invest primarily in high quality senior secured loans. The firm focuses on originating loans for mid- to large-sized leveraged and management buyout transactions, recapitalizations, re-financings, financings, acquisitions, and restructurings for organizations such as private equity firms, private family companies and corporate issuers. The firm may also make opportunistic purchases of senior secured loans in the secondary market. It invests across a broad range of industries in the Americas and Europe. The firm targets investments ranging in size from $250 million to more than $600 million in companies with $300 million to more than $5 billion of enterprise value. For specialty lending, it prefers to invest in middle market with focus on leverage and management buyout, recapitalization, expansion and growth financials, turnaround, restructuring and exit financing. It prefers to invest in mezzanine debt with non-control investment in convertible debt and debt with warrants. It seeks to invest between $20 million to $150 million. It prefers to invest in business services, consumer products, healthcare, franchising, lender finance, media, oil and gas, retail, software, technology, and telecom/wireless. It prefers to invest in United States and Europe. For alternative energy investing firm prefer to invest in private growth equity debt, term loans and tax equity. It prefer to invest in energy sector with focus on energy generation, power grid ancillary services, energy/fuel logistics and distribution, tax credits, and green attribute / renewable energy credits with focus on solar (PV, thin film, concentrated, etc., panel manufacturers and solar developers), wind (turbine manufacturers and wind developers), batteries, grid services, biomass and bio-gas (waste-water treatment, landfill gas), geothermal, alternative fuels and vehicles (liquefied natural gas, compressed natural gas, ethanol, advanced biofuels, electric vehicles), energy efficiency, unconventional oil & gas and related products (natural gas liquids, liquefied natural gas), coal emissions reducers. For distressed debt investments, it seeks to invest in stressed and distressed debt acquired through negotiated financings, recapitalizations, corporate and financial restructurings, acquisitions, divestitures, and reorganizations – or through secondary market purchases. The firm seeks to invest across a broad range of industries, primarily in North America and Europe. It targets investments ranges in size from $100 million to $500 million. For real estate credit investments, the firm invests in senior and mezzanine loans collateralized by high quality real estate. It seeks to invest in North America, Asia, and Europe. The firm targets investments range in size from $50 million to $150 million. For venture capital investments, the firm focuses on start-ups and early stage. It typically invests in information technology, software, hardware, emerging telecom, high-tech manufacturing, information services and internet firms. The firm seeks to invest between $1 million and $14.3 million in a company. For urban investments, it invests across all industries with a focus on media, general industrial, consumer goods or services, health care, healthcare IT, financial services, business services, food and beverages, and retail industries. It prefers to take a minority or majority stake. West Street Capital Partners was founded in 1986 and is based in New York, New York with additional offices across United States, Europe, Asia, and Australia. West Street Capital Partners operates as a subsidiary of Goldman Sachs Group, Investment Banking and Securities Investments."
32,31,Wells Fargo Foothill Inc,Operating Subsidiary,"Wells Fargo Capital Finance, Inc. operates as a specialty finance (commercial focused) company. It is a niche commercial lender. The company was formerly known as Wells Fargo Foothill, Inc. and changed its name to Wells Fargo Capital Finance, Inc. in January 2009. The company was founded in 1971 and is based in Santa Monica, California."
33,32,GMAC Commercial Finance [fka GMAC Commercial Credit LLC],,
34,33,Wachovia Securities,Acquired,No business description exists.
35,34,GE Capital Markets Inc,Operating Subsidiary,"GE Capital Markets, Inc. provides debt financing to companies. The company also operates as an arranger and bookrunner for providing credit facilities. GE Capital Markets, Inc. was formerly known as GECC Capital Markets Group, Inc. It is based in Stamford, Connecticut. GE Capital Markets, Inc. operates as a subsidiary of GE Structured Finance, LLC"
36,35,Factoring VIE,,
37,,Factoring Limited,Out of Business,"Factoring Limited went out of business. Factoring Limited is an insurance broker company. It offers insurance brokergae services. It was incorporated in 2018 and is headquartered in Solihull, United Kingdom."
38,36,SWC Receivables Funding LLC,,
39,37,Credit Suisse AG,Operating Subsidiary,"Credit Suisse AG provides private banking and wealth management solutions in Switzerland and internationally. The company offers wealth management solutions primarily for ultra-high-net-worth individuals; structured advisory; investment advice and discretionary asset management services that include investment expertise on macroeconomic, equity, bond, commodity, foreign exchange, and research on economy. It also provides investment advisory services for portfolio consulting and advising on individual investment; portfolio and risk management solutions; investment portfolio structuring and structured products; and alternative investment services in the fields of hedge funds, private equity, commodities, and real estate investments. In addition, the company offers wealth planning, succession planning, and trust services; consumer credit and real estate mortgage lending; real asset lending relating for ship and aviation financing; standard and structured hedging; lombard lending solutions; and collateral trading services. Further, it provides traditional and structured lending, payment services, foreign exchange, capital goods leasing, and investment solutions; customized services in the areas of mergers and acquisitions, syndications, and structured finance; commodity and structured trade finance, trade and export finance, and factoring; fund solutions and fund-linked services; and securities, cash, and treasury services. Additionally, the company offers traditional investment products for equities, fixed income, and multi-asset products; and banking solutions, such as payments, accounts, debit and credit cards, and product bundles. The company was formerly known as Credit Suisse First Boston, Inc. and changed its name to Credit Suisse AG in June 2005. Credit Suisse AG was incorporated in 1856 and is based in Zurich, Switzerland. Credit Suisse AG is a subsidiary of Credit Suisse Group AG."
40,38,GE Capital Corp,Operating Subsidiary,"GE Capital Corporation (Holdings) Limited, through its subsidiaries, provides finance for small and medium enterprises and corporations. Its services include invoice finance, asset based lending and cash flow loans, factoring, invoice discounting, and mezzanine finance. The company was incorporated in 1993 and is based in Leeds, United Kingdom. GE Capital Corporation (Holdings) Limited operates as a subsidiary of GE Financial Holdings Unlimited Company."
41,39,ABL Credit Facility,,
42,40,Dresdner Bank AG,Acquired,"As of May 11, 2009, Dresdner Bank AG was acquired by Commerzbank AG. Dresdner Bank AG, together with its subsidiaries, operates as a commercial bank primarily in Germany, other parts of Europe, North America, Latin America, and the Asia/Pacific. It offers a range of banking products and financial services, including loans and deposits, securities and custody services, payment transactions, and trading and capital market services, as well as s life, health, and non-life insurance products to private, corporate, and institutional customers. The bank’s Private & Corporate Clients division offers private clients with personalized financial solutions comprising products for asset accumulation, financing, retirement provision, and insurance; individual asset management for high net worth private clients, such as retirement provision, financing concepts, and financial and asset planning; and advice on personal and business finances for business clients. This division also offers private wealth management solutions, including professional support and end-to-end advisory services; and corporate banking products and services, such as lending and deposits, and foreign commercial business, as well as securities and payments, including related e-business activities. This segment also provides placements, trading, and research services primarily to pension funds, asset managers, and alternative asset managers. As of February 28, 2008, Dresdner Bank had a network of 1,074 branch offices. Dresdner Bank AG was founded in 1872 and is headquartered in Frankfurt am Main, Germany."
43,41,ING Bank,Operating Subsidiary,"ING Bank N.V. provides various banking products and services to individuals, small-to-medium enterprises, and mid-corporate companies. The company operates through Retail Netherlands, Retail Belgium, Retail Germany, Retail Other, and Wholesale Banking segments. It offers current and savings accounts; investment products; business lending and other consumer lending products; and mortgages. The company also provides lending, debt capital markets, working capital solutions, export finance, daily banking solutions, treasury and risk solutions, payments and cash management, and corporate finance services. It serves in the Netherlands, Belgium, Germany, Poland, Spain, the United Kingdom, Luxemburg, France, Rest of Europe, the United States, Asia, Italy, Norway, Australia, and Africa. The company was incorporated in 1927 and is headquartered in Amsterdam, the Netherlands. ING Bank N.V. is a subsidiary of ING Groep N.V."
44,42,The Bank of Tokyo-Mitsubishi ,Operating Subsidiary,"MUFG Bank, Ltd. provides various banking and financial services to individuals and corporate customers in the Americas, Europe, the Middle East, Africa, Asia, and Oceania. The company operates through Retail Banking Business Unit, Corporate Banking Business Unit, Global Business Unit, Global Markets Unit, and Other Units segments. It offers corporate and investment banking services, including syndication and cross border syndication loans; structured finance services, such as project, export credit agency, leveraged buyout/management buyout/corporate M&A, real estate, and ship finance; and asset finance services comprising securitization solutions, asset based lending, accounts receivable purchases programs, and supply chain finance services. The company also provides sales and trading, asset and liability management, strategic investment, and back office services; cash management services consisting of liquidity management, payment solutions, account reconciliation, and online foreign exchange contract solutions; trade finance services; and transaction services, such as custody, and cash and securities clearing services to financial institutions. In addition, it offers trust banking, securities, credit cards, consumer finance, leasing, funds and securities transactions, settlement, and other services. MUFG Bank, Ltd. was formerly known as The Bank of Tokyo-Mitsubishi UFJ, Ltd. and changed its name to MUFG Bank, Ltd. in April 2018. The company was founded in 1919 and is headquartered in Chiyoda, Japan. MUFG Bank, Ltd. operates as a subsidiary of Mitsubishi UFJ Financial Group, Inc."
45,43,"Minnesota Power, Inc.",Operating Subsidiary,"Minnesota Power, Inc. engages in the generation, transmission, and distribution of electricity to residential and commercial customers in northeastern Minnesota. The company was formerly known as Duluth Edison Electric Co. Minnesota Power, Inc. was incorporated in 1906 and is based in Duluth, Minnesota. Minnesota Power, Inc. operates as a subsidiary of ALLETE, Inc."
46,44,MassMutual Funding LLC,,
47,45, General Electric Capital Corporation,Acquired,"As of Dec 3, 2015 General Electric Capital Corporation was acquired by General Electric Company. General Electric Capital Corporation offers financial products and services. The company provides commercial loans and leasing, fleet management, credit card, and personal lending solutions. General Electric Capital Corporation was founded in 1943 and is based in Norwalk, Connecticut."
